crime,year,rate
assault,2018,271.5947266
assault,2019,300.3870239
assault,2020,227.9981689
assault,2021,299.8415833
assault,2022,322.688324
assault,2023,262.5102539
autotheft,2014,107.4996872
autotheft,2015,119.0625381
autotheft,2016,198.4127045
autotheft,2017,84.84334564
autotheft,2018,82.65926361
autotheft,2019,173.3002167
autotheft,2020,131.0989532
autotheft,2021,254.582489
autotheft,2022,244.7980347
autotheft,2023,470.3308716
biketheft,2014,44.26457596
biketheft,2015,56.39804459
biketheft,2016,93.00595093
biketheft,2017,36.36143112
biketheft,2018,5.904233456
biketheft,2019,23.10669518
biketheft,2020,91.19927216
biketheft,2021,67.88866425
biketheft,2022,43.75170905
biketheft,2023,54.68963623
breakenter,2014,436.3222351
breakenter,2015,363.454071
breakenter,2016,334.8214417
breakenter,2017,442.3974304
breakenter,2018,330.6370544
breakenter,2019,311.9403992
breakenter,2020,205.1983643
breakenter,2021,147.0921021
breakenter,2022,222.5436707
breakenter,2023,399.2343445
robbery,2014,88.52915192
robbery,2015,119.0625381
robbery,2016,86.80555725
robbery,2017,181.8071594
robbery,2018,188.9354706
robbery,2019,132.8634949
robbery,2020,102.5991821
robbery,2021,50.91649628
robbery,2022,66.76309967
robbery,2023,92.97238159
shooting,2014,6.323510647
shooting,2015,0
shooting,2016,0
shooting,2017,0
shooting,2018,5.904233456
shooting,2019,11.55334759
shooting,2020,11.39990902
shooting,2021,5.657388687
shooting,2022,11.12718391
shooting,2023,5.468963623
theftfrommv,2014,158.0877686
theftfrommv,2015,125.3289871
theftfrommv,2016,217.0138855
theftfrommv,2017,218.1685944
theftfrommv,2018,218.4566345
theftfrommv,2019,259.9503174
theftfrommv,2020,273.5978088
theftfrommv,2021,299.8415833
theftfrommv,2022,355.482636
theftfrommv,2023,410.1722717
theftover,2014,18.97053337
theftover,2015,25.06579781
theftover,2016,18.60119057
theftover,2017,36.36143112
theftover,2018,17.71269989
theftover,2019,51.99006271
theftover,2020,22.79981804
theftover,2021,28.28694344
theftover,2022,72.32669067
theftover,2023,76.56549072
assault,2014,320.1856079
assault,2015,328.5364075
assault,2016,359.1490784
assault,2017,385.6099548
assault,2018,384.1000366
assault,2019,357.5211792
assault,2020,281.0839233
assault,2021,338.3425598
assault,2022,361.718811
assault,2023,447.619873
autotheft,2014,32.48259735
autotheft,2015,23.13636589
autotheft,2016,18.41790199
autotheft,2017,45.36587524
autotheft,2018,84.85931396
autotheft,2019,128.0014191
autotheft,2020,96.62260437
autotheft,2021,171.3683167
autotheft,2022,191.7545471
autotheft,2023,202.2897491
biketheft,2014,55.68445587
biketheft,2015,69.40909576
biketheft,2016,82.88056183
biketheft,2017,40.82928848
biketheft,2018,58.06163406
biketheft,2019,52.9661026
biketheft,2020,114.1903458
biketheft,2021,61.51683044
biketheft,2022,120.5130412
biketheft,2023,73.16863251
breakenter,2014,37.12297058
breakenter,2015,37.01818466
breakenter,2016,55.25370789
breakenter,2017,45.36587524
breakenter,2018,31.26395798
breakenter,2019,97.10452271
breakenter,2020,118.582283
breakenter,2021,83.48712921
breakenter,2022,74.08699036
breakenter,2023,68.86459351
homicide,2014,0
homicide,2015,0
homicide,2016,0
homicide,2017,0
homicide,2018,0
homicide,2019,0
homicide,2020,0
homicide,2021,0
homicide,2022,0
homicide,2023,4.304037094
robbery,2014,32.48259735
robbery,2015,50.90000534
robbery,2016,115.1118851
robbery,2017,63.5122261
robbery,2018,116.1232681
